Horodateur,Are you a musician ?,"Do you have experience in composition including drums ?  jazz composition, production on DAW software (Ableton, FL studio, etc)",Do you play drums ?,Which of these samples contains a drum fill ?,[Required] Can you give an overall grade to these fills ? [Sample 1],[Required] Can you give an overall grade to these fills ? [Sample 2],[Required] Can you give an overall grade to these fills ? [Sample 3],[Required] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? the less coherent ? [Most coherent],[Optional] Which fill is the most coherent with respect to the regular pattern ? the less coherent ? [Less coherent],[Optional] Which fill has the best groove ? worst groove ? [Best Groove],[Optional] Which fill has the best groove ? worst groove ? [Worst Groove],[Required] Can you give an overall grade to these fills ? [Sample 1],[Required] Can you give an overall grade to these fills ? [Sample 2],[Required] Can you give an overall grade to these fills ? [Sample 3],[Required] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Most coherent ],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Less coherent],[Optional] Which fill has the best groove ? worst groove ? [Best Groove],[Optional] Which fill has the best groove ? worst groove ? [Worst Groove ],[Required] Can you give an overall grade to these fills ? [Sample 1],[Required] Can you give an overall grade to these fills ? [Sample 2],[Required] Can you give an overall grade to these fills ? [Sample 3],[Required] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Most coherent],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Less coherent],[Optional] Which fill has the best groove ? Worst groove ? [Best groove ],[Optional] Which fill has the best groove ? Worst groove ? [Worst groove ],[Optional]Can you give an overall grade to these fills ? [Sample 1],[Optional]Can you give an overall grade to these fills ? [Sample 2],[Optional]Can you give an overall grade to these fills ? [Sample 3],[Optional]Can you give an overall grade to these fills ? [Sample 4],[Optional]Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Most coherent],[Optional]Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [Less coherent],[Optional] Which fill has the best groove ? the worst groove ? [Best groove ],[Optional] Which fill has the best groove ? the worst groove ? [Worst groove],[Optional] Can you give an overall grade to these fills ? [Sample 1],[Optional] Can you give an overall grade to these fills ? [Sample 2],[Optional] Can you give an overall grade to these fills ? [Sample 3],[Optional] Can you give an overall grade to these fills ? [Sample 4],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [most coherent],[Optional] Which fill is the most coherent with respect to the regular pattern ? Less coherent ? [less coherent],[Optional] Which fill has the best groove ? Worst groove ? [Best groove],[Optional] Which fill has the best groove ? Worst groove ? [Worst Groove],"(optional) If you are a producer, among the best fills you heard before, could you use it if you'd have them in MIDI format ?",(optional)In which region of the world are you living ?,(optional)if you want to leave a comment :
08/04/2019 18:21:13,I'm an amateur musician,No experience,No,Sample 2,2,4,2,3,Sample 2,Sample 3,Sample 2,Sample 3,2,3,5 (very good fill),4,Sample 3,Sample 1,Sample 3,Sample 1,1 (very bad fill),3,2,3,,,,,3,3,4,2,Sample 3,Sample 4,Sample 3,Sample 4,4,3,5 (very good fill),2,Sample 3,Sample 4,Sample 3,Sample 4,,Europe,C'est André ????
08/04/2019 18:22:39,I'm not a musician,,,Sample 2,3,4,2,3,Sample 1,Sample 3,Sample 2,Sample 3,2,3,3,4,Sample 4,Sample 2,Sample 4,Sample 2,2,3,3,4,Sample 4,Sample 1,Sample 4,Sample 1,,,,,,,,,,,,,,,,,,Europe,
08/04/2019 18:24:13,I'm not a musician,,,Sample 2,2,4,5 (very good fill),5 (very good fill),Sample 4,Sample 1,Sample 4,Sample 1,3,4,5 (very good fill),1 (very bad fill),Sample 3,Sample 4,Sample 3,Sample 4,2,1 (very bad fill),4,3,Sample 3,Sample 2,Sample 3,Sample 2,,,,,,,,,,,,,,,,,,Europe,good work brother
08/04/2019 18:37:03,I'm an amateur musician,No experience,No,Sample 2,3,1 (Very bad Fill),3,5 (very good fill),Sample 4,Sample 2,Sample 4,Sample 2,2,3,4,2,Sample 3,Sample 4,Sample 3,Sample 4,3,3,4,3,Sample 3,Sample 4,Sample 3,Sample 4,4,2,3,2,Sample 1,Sample 4,Sample 1,Sample 4,2,4,4,2,Sample 2,Sample 1,Sample 3,Sample 4,Yes,Asia,
08/04/2019 19:51:48,I'm an amateur musician,less than 5 years,No,Sample 2,2,2,3,4,Sample 2,Sample 4,Sample 2,Sample 4,2,4,4,1 (very bad fill),Sample 3,Sample 1,Sample 3,Sample 1,2,1 (very bad fill),4,3,,,,,2,2,3,3,,,,,4,3,2,2,,,,,No,Europe,
08/04/2019 19:54:16,I'm not a musician,,,Sample 2,3,2,3,4,Sample 4,Sample 3,Sample 4,Sample 3,3,3,4,2,Sample 3,Sample 4,Sample 3,Sample 4,4,2,3,3,Sample 1,Sample 2,Sample 1,Sample 2,,,,,,,,,,,,,,,,,,Europe,Good luck!
08/04/2019 20:17:14,I'm not a musician,,,Sample 2,2,1 (Very bad Fill),4,5 (very good fill),Sample 4,Sample 2,Sample 3,Sample 1,3,2,5 (very good fill),4,Sample 3,Sample 2,Sample 3,Sample 1,1 (very bad fill),4,4,1 (very bad fill),Sample 2,Sample 4,Sample 2,Sample 1,3,2,4,4,Sample 2,Sample 1,Sample 3,,,,,,,,,,,Europe,
08/04/2019 20:18:38,I'm not a musician,,,Sample 2,2,3,4,3,,,,,3,1 (very bad fill),2,4,,,,,4,2,2,5 (very good fill),,,,,,,,,,,,,,,,,,,,,,,
08/04/2019 21:35:24,I'm an amateur musician,less than 5 years,Yes but it's not my main instrument,Sample 2,2,3,4,4,Sample 3,Sample 2,Sample 4,Sample 2,3,4,3,2,Sample 2,Sample 1,Sample 2,Sample 4,4,3,3,3,Sample 2,Sample 1,Sample 1,Sample 4,4,2,3,4,Sample 1,Sample 3,Sample 1,Sample 2,3,4,4,2,Sample 3,Sample 1,Sample 2,Sample 4,,Asia,
08/04/2019 21:43:05,I'm an amateur musician,less than 5 years,Yes but it's not my main instrument,Sample 2,2,4,3,4,Sample 4,Sample 1,Sample 4,Sample 1,2,4,4,3,Sample 3,Sample 1,Sample 3,Sample 1,3,2,4,3,Sample 3,Sample 2,Sample 3,Sample 2,2,2,4,3,Sample 3,Sample 1,Sample 3,Sample 1,4,4,4,4,,,,,Yes,Asia,
08/04/2019 23:34:24,I'm a semi-professional musician (I earn money with it but it's not my main activity),less than 5 years,Yes but it's not my main instrument,Sample 2,4,5 (very good fill),3,4,Sample 1,Sample 3,Sample 1,Sample 3,4,3,5 (very good fill),3,Sample 1,Sample 2,Sample 4,Sample 2,1 (very bad fill),5 (very good fill),4,3,Sample 4,Sample 1,Sample 4,Sample 2,4,3,2,5 (very good fill),Sample 4,Sample 3,Sample 4,,2,4,5 (very good fill),,Sample 3,Sample 1,Sample 3,Sample 1,Yes,Europe,
08/04/2019 23:52:20,I'm an amateur musician,No experience,No,Sample 2,2,4,5 (very good fill),3,Sample 4,Sample 1,Sample 2,Sample 1,3,4,3,4,Sample 2,Sample 4,Sample 2,Sample 1,2,3,4,4,Sample 3,Sample 1,Sample 3,Sample 1,2,2,3,2,Sample 3,Sample 2,Sample 3,Sample 2,5 (very good fill),3,4,4,Sample 1,Sample 2,Sample 1,Sample 2,,Europe,
08/04/2019 23:54:22,I'm an amateur musician,less than 5 years,Yes but it's not my main instrument,Sample 2,2,4,2,4,Sample 2,Sample 4,Sample 3,Sample 1,2,3,3,4,Sample 4,Sample 2,,,2,2,1 (very bad fill),1 (very bad fill),Sample 2,Sample 4,,Sample 2,,,,,,,,,,,,,,,,,No,Asia,
09/04/2019 00:34:17,I'm an amateur musician,No experience,No,Sample 2,2,4,5 (very good fill),4,,,,,2,3,4,3,,,,,2,2,4,4,,,,,4,2,2,3,,,,,,,,,,,,,,Asia,
09/04/2019 00:53:58,I'm a semi-professional musician (I earn money with it but it's not my main activity),No experience,Yes it's my main instrument,Sample 2,3,2,3,5 (very good fill),Sample 4,Sample 2,Sample 4,Sample 2,2,5 (very good fill),4,4,Sample 3,Sample 1,Sample 3,Sample 1,2,3,3,5 (very good fill),Sample 4,Sample 1,Sample 4,Sample 1,4,5 (very good fill),4,2,Sample 2,Sample 4,Sample 2,Sample 4,4,3,2,5 (very good fill),Sample 4,Sample 3,Sample 4,Sample 3,Yes,Asia,
09/04/2019 01:02:18,I'm an amateur musician,less than 5 years,Yes it's my main instrument,Sample 2,1 (Very bad Fill),4,2,3,Sample 4,Sample 1,Sample 2,Sample 1,4,2,3,2,Sample 1,Sample 4,Sample 1,Sample 4,3,2,2,3,,,,Sample 3,2,3,5 (very good fill),3,Sample 3,Sample 1,Sample 3,Sample 1,3,4,5 (very good fill),4,Sample 3,,Sample 3,Sample 1,,Asia,"cool stuff.
Maybe you can add the velocity of midi data to your RNN model. It allows the model to create drum fills with accents, which makes the fills have more grooving and depth. Also, it ""humanize"" the sound. Great works!"
09/04/2019 01:04:40,I'm an amateur musician,less than 5 years,No,Sample 2,2,1 (Very bad Fill),3,4,Sample 2,Sample 3,Sample 3,Sample 2,1 (very bad fill),3,4,4,Sample 1,Sample 2,Sample 3,Sample 1,1 (very bad fill),2,3,3,Sample 2,Sample 1,Sample 3,Sample 2,3,2,2,3,Sample 4,Sample 2,Sample 4,Sample 2,3,2,4,2,Sample 3,Sample 4,Sample 3,Sample 2,improvement needed on groove but good ideas,Europe,Fills seems a bit in a hurry in the end of the pattern; Perhaps try to slow down the  pattern at the end ? Thanks anyhow. Phil T (guitarist)
09/04/2019 01:22:43,I'm an amateur musician,No experience,No,Sample 2,4,5 (very good fill),3,4,Sample 2,Sample 3,Sample 2,Sample 1,3,2,3,3,Sample 4,,Sample 4,Sample 1,2,4,2,4,Sample 2,Sample 1,Sample 2,Sample 1,2,3,5 (very good fill),4,Sample 3,Sample 2,Sample 3,Sample 1,2,3,2,2,Sample 2,Sample 3,Sample 2,Sample 3,,Europe,"Hello bae 
C’était pas facile facile 
J’espère que ça t’aidera et que je n’ai pas trop dit nimp 
DJ EBITDA "
09/04/2019 01:42:46,I'm not a musician,,,Sample 2,3,1 (Very bad Fill),5 (very good fill),1 (Very bad Fill),Sample 3,Sample 4,Sample 3,Sample 2,5 (very good fill),1 (very bad fill),4,4,Sample 1,Sample 2,Sample 4,Sample 2,5 (very good fill),2,1 (very bad fill),5 (very good fill),Sample 1,Sample 3,Sample 4,Sample 3,,,,,,,,,,,,,,,,,,,
09/04/2019 01:45:32,I'm a semi-professional musician (I earn money with it but it's not my main activity),No experience,No,Sample 2,1 (Very bad Fill),3,2,4,Sample 4,Sample 2,Sample 4,Sample 3,3,2,2,2,Sample 2,Sample 1,Sample 1,Sample 3,2,1 (very bad fill),1 (very bad fill),1 (very bad fill),,,,,2,1 (very bad fill),1 (very bad fill),3,Sample 4,Sample 1,Sample 4,Sample 3,4,2,2,2,Sample 1,Sample 2,Sample 1,Sample 4,No,Asia,
09/04/2019 02:32:29,I'm a semi-professional musician (I earn money with it but it's not my main activity),5 years and more,Yes it's my main instrument,Sample 2,2,4,4,3,Sample 2,Sample 1,Sample 2,Sample 1,3,3,4,3,Sample 3,Sample 4,Sample 3,Sample 2,5 (very good fill),2,3,2,Sample 1,Sample 4,Sample 1,Sample 3,4,1 (very bad fill),4,3,Sample 1,Sample 2,Sample 1,Sample 2,3,4,4,2,Sample 3,Sample 2,Sample 3,Sample 2,No,Asia,Good job! Some fills are good enough to have slight adjustments of accents.   In most situation it would be better to have melody when rating drum fills.
09/04/2019 02:41:29,I'm an amateur musician,5 years and more,Yes it's my main instrument,Sample 2,3,4,1 (Very bad Fill),5 (very good fill),Sample 4,Sample 3,Sample 4,Sample 3,3,3,4,5 (very good fill),Sample 4,Sample 2,Sample 4,Sample 2,4,2,3,1 (very bad fill),Sample 1,Sample 4,Sample 1,Sample 4,1 (very bad fill),2,5 (very good fill),4,Sample 3,Sample 1,Sample 3,Sample 1,3,4,4,2,Sample 3,Sample 4,Sample 3,Sample 4,Yes,North America,
09/04/2019 04:11:09,I'm an amateur musician,less than 5 years,Yes it's my main instrument,Sample 2,2,4,4,4,Sample 4,Sample 1,Sample 2,Sample 1,3,5 (very good fill),2,1 (very bad fill),Sample 3,Sample 4,Sample 2,Sample 4,3,3,3,2,Sample 2,Sample 3,Sample 1,Sample 4,4,3,5 (very good fill),,Sample 4,Sample 1,Sample 3,Sample 2,3,4,5 (very good fill),1 (very bad fill),Sample 3,Sample 4,Sample 2,Sample 4,Yes,Asia,Very interesting project!
09/04/2019 05:52:44,I'm not a musician,,,Sample 2,2,2,5 (very good fill),2,,,Sample 3,Sample 1,2,3,4,5 (very good fill),,,Sample 4,Sample 1,5 (very good fill),2,4,2,,,Sample 1,Sample 2,4,3,2,4,Sample 1,Sample 3,Sample 1,Sample 2,2,4,5 (very good fill),1 (very bad fill),Sample 3,Sample 4,Sample 3,Sample 4,,Europe,Jtm depuis notre premier échange de regards Fred
09/04/2019 06:39:11,I'm an amateur musician,No experience,Yes but it's not my main instrument,Sample 2,3,4,1 (Very bad Fill),1 (Very bad Fill),Sample 4,Sample 3,Sample 2,Sample 4,4,1 (very bad fill),4,3,Sample 2,Sample 1,Sample 1,Sample 2,2,1 (very bad fill),1 (very bad fill),3,Sample 3,Sample 1,Sample 4,Sample 3,1 (very bad fill),3,1 (very bad fill),3,Sample 2,Sample 3,Sample 2,Sample 1,4,2,2,1 (very bad fill),Sample 1,Sample 4,Sample 1,Sample 4,,Europe,
09/04/2019 08:37:06,I'm an amateur musician,less than 5 years,Yes but it's not my main instrument,Sample 2,1 (Very bad Fill),2,3,2,Sample 3,Sample 4,Sample 3,Sample 1,2,2,4,3,Sample 3,Sample 1,Sample 3,Sample 1,1 (very bad fill),2,2,3,Sample 2,Sample 3,Sample 3,Sample 1,,,,,,,,,,,,,,,,,No,Asia,
09/04/2019 10:27:08,I'm an amateur musician,No experience,No,Sample 2,2,3,4,4,Sample 4,Sample 1,Sample 3,Sample 1,2,2,3,1 (very bad fill),Sample 3,Sample 4,Sample 3,Sample 2,3,3,3,2,Sample 2,Sample 4,Sample 3,Sample 4,3,4,4,3,Sample 3,Sample 1,Sample 3,Sample 2,3,4,4,2,Sample 3,Sample 4,Sample 3,Sample 4,Yes,Asia,帥!
09/04/2019 11:05:33,I'm an amateur musician,less than 5 years,Yes it's my main instrument,Sample 2,1 (Very bad Fill),1 (Very bad Fill),2,3,Sample 4,Sample 1,Sample 4,Sample 1,2,4,4,3,Sample 3,Sample 1,Sample 3,Sample 1,2,3,4,3,Sample 3,Sample 1,Sample 3,Sample 1,4,2,4,3,Sample 4,Sample 2,Sample 4,Sample 2,3,3,3,3,Sample 3,Sample 2,Sample 4,Sample 2,Yes,Taiwan PG,做得不錯，需要可隨時找我聊聊，Taige ^^
09/04/2019 13:39:14,I'm a semi-professional musician (I earn money with it but it's not my main activity),less than 5 years,Yes it's my main instrument,Sample 2,3,2,3,5 (very good fill),Sample 4,Sample 2,Sample 4,Sample 2,3,2,2,3,Sample 3,Sample 1,Sample 3,Sample 2,2,5 (very good fill),4,5 (very good fill),Sample 4,Sample 1,Sample 4,Sample 1,3,3,2,3,Sample 3,Sample 4,Sample 3,Sample 4,3,3,4,5 (very good fill),Sample 4,Sample 2,Sample 2,Sample 4,Yes,Asia,
09/04/2019 14:38:28,I'm not a musician,,,Sample 2,1 (Very bad Fill),2,3,4,Sample 4,Sample 1,Sample 4,Sample 2,1 (very bad fill),4,3,2,Sample 2,Sample 1,Sample 4,Sample 1,2,1 (very bad fill),3,4,Sample 4,Sample 1,Sample 4,Sample 2,3,1 (very bad fill),2,4,Sample 4,Sample 2,Sample 4,Sample 2,1 (very bad fill),2,3,4,Sample 3,Sample 1,Sample 3,Sample 2,Yes,Asia,
09/04/2019 14:42:14,I'm not a musician,,,Sample 2,3,4,5 (very good fill),5 (very good fill),Sample 3,Sample 1,Sample 3,Sample 1,3,2,2,3,Sample 4,Sample 3,Sample 4,Sample 3,4,3,4,5 (very good fill),Sample 4,Sample 3,Sample 4,Sample 3,3,1 (very bad fill),1 (very bad fill),2,Sample 1,Sample 3,Sample 1,Sample 2,,,,,,,,,Yes,Asia,
09/04/2019 15:16:29,I'm not a musician,,,Sample 2,2,2,4,5 (very good fill),,,,,2,3,2,4,,,,,3,1 (very bad fill),2,4,,,,,,,,,,,,,,,,,,,,,,,
09/04/2019 15:30:39,I'm a semi-professional musician (I earn money with it but it's not my main activity),5 years and more,Yes but it's not my main instrument,Sample 2,3,3,5 (very good fill),5 (very good fill),Sample 4,Sample 2,Sample 3,Sample 2,4,5 (very good fill),5 (very good fill),3,Sample 3,Sample 4,Sample 3,Sample 4,3,5 (very good fill),5 (very good fill),3,Sample 2,Sample 4,Sample 3,Sample 1,3,3,4,4,Sample 3,Sample 2,Sample 3,Sample 2,2,5 (very good fill),5 (very good fill),2,Sample 3,Sample 1,Sample 3,Sample 1,Yes,Europe,👍🛵☀️
09/04/2019 19:46:46,I'm an amateur musician,No experience,No,Sample 2,3,5 (very good fill),4,3,Sample 2,Sample 3,Sample 2,Sample 4,3,4,5 (very good fill),5 (very good fill),,,Sample 4,,3,3,3,3,,,,,2,2,3,3,,,,,3,3,4,4,,,,,No,Asia,
09/04/2019 20:09:06,I'm a professional musician,5 years and more,Yes but it's not my main instrument,Sample 2,1 (Very bad Fill),1 (Very bad Fill),2,1 (Very bad Fill),,,,,1 (very bad fill),2,1 (very bad fill),1 (very bad fill),,,,,3,1 (very bad fill),2,2,,,,,,,,,,,,,,,,,,,,,Yes,Asia,"The structure of 3+1+3+1 bars make each sample sounds like an accompaniment. Even if I assume it is a solo piece, the 8 bars are too short. Either way, it is very difficult to evaluate out of context."
10/04/2019 08:00:17,I'm an amateur musician,5 years and more,Yes it's my main instrument,Sample 2,3,4,2,3,Sample 2,Sample 3,Sample 2,Sample 3,3,3,2,3,Sample 2,Sample 3,Sample 4,Sample 3,3,2,2,2,Sample 3,Sample 2,Sample 3,Sample 2,4,2,4,3,Sample 1,Sample 2,Sample 3,Sample 2,1 (very bad fill),2,1 (very bad fill),1 (very bad fill),Sample 2,Sample 1,Sample 2,Sample 1,No,Europe,HELLO FREDERICO
